srcip,src_port,dstip,dst_port,protocol_type,flag,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smean,dmean,trans_depth,response_body_len,sjit,djit,timestamp,Ltime,sinpkt,dinpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label,is_attack,attack_subcat,rate,hour,day_part,duration_from_times,id
,,,,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,24,24,14,14,13,13,24,Generic,1,,,111111.1072,,,,166432.0
,,,,tcp,FIN,0.006155,3728,5474,31,29,7,7,ssh,4694719.5,6818521.5,32,24,255,255,4250398146,4250795856,117,228,0,0,12.753456,0.332489,,,0.205167,0.227696,0.000903,0.000791,0.000112,0,0,0.0,0.0,0.0,2,1,5,1,1,1,1,Normal,0,,,8935.824434,,,,15296.0
,,,,tcp,FIN,0.721396,534,354,254,252,2,1,-,5334.102051,3437.778809,10,8,255,255,3046629925,1432886268,53,44,0,0,4714.365238,146.529953,,,75.352111,93.678141,0.185767,0.065647,0.12012,0,1,0.0,0.0,0.0,3,4,1,1,1,1,3,Normal,0,,,23.565419,,,,41556.0
,,,,sctp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,5,5,2,2,2,2,5,Exploits,1,,,125000.0003,,,,7291.0
175.45.176.2,0.0,149.171.126.17,0.0,ib,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258911.0,1424258911.0,0.009,0.0,0.0,0.0,0.0,0,2,,,0.0,6,6,3,8,3,3,6,Exploits,1,1.0, ICMP,22219753.360737693,11.0,morning,0.0,
,,,,unas,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,3,3,1,1,1,1,3,DoS,1,,,200000.0051,,,,68105.0
,,,,udp,CON,0.001043,132,164,31,29,0,0,dns,506232.0,628954.9375,2,2,0,0,0,0,66,82,0,0,0.0,0.0,,,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,3,2,3,1,1,1,Normal,0,,,2876.318242,,,,9044.0
,,,,tcp,FIN,1.474042,564,354,254,252,2,1,-,2757.044922,1682.448608,10,8,255,255,1839805185,3149996034,56,44,0,0,11144.50927,284.811937,,,161.780333,198.683281,0.125249,0.083255,0.041994,0,1,0.0,0.0,0.0,1,1,1,1,1,1,1,Reconnaissance,1,,,11.532914,,,,111290.0
,,,,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,27,27,25,25,25,25,27,Generic,1,,,125000.0003,,,,22891.0
,,,,udp,CON,0.001837,520,304,31,29,0,0,-,1698421.375,992923.25,4,4,0,0,0,0,130,76,0,0,0.666095,0.322211,,,0.476,0.232333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,5,3,2,1,1,3,Normal,0,,,3810.560659,,,,30332.0
,,,,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,18,18,18,20,18,18,18,Generic,1,,,125000.0003,,,,162376.0
